rainfall_1h,rainfall_3h,rainfall_24h,humidity,elevation,slope,soil_moisture,river_distance,flood
35.9,103.9,348.1,80.0,2690.0,22.3,0.78,373.0,0
22.4,64.4,110.5,89.1,898.0,25.8,0.84,326.0,1
20.7,57.4,182.1,62.5,1552.0,24.8,0.29,907.0,0
20.7,65.4,165.1,90.9,1570.0,15.8,0.34,263.0,0
69.7,164.0,438.9,49.8,2659.0,5.2,0.29,2429.0,0
43.0,85.3,138.4,56.3,2360.0,40.5,0.79,120.0,1
17.0,46.5,91.9,42.6,1685.0,36.5,0.95,536.0,0
37.0,104.5,363.3,61.9,2111.0,8.0,0.75,56.0,0
30.0,78.1,205.8,62.8,2588.0,35.4,0.89,794.0,1
3.2,6.8,15.3,88.3,326.0,28.9,0.67,3150.0,0
10.1,25.2,62.1,79.2,1388.0,19.6,0.45,1026.0,0
31.6,70.7,257.0,66.2,2750.0,12.9,0.48,487.0,0
65.5,157.0,529.6,79.1,2299.0,39.0,0.17,398.0,1
20.9,56.4,123.1,43.2,1766.0,32.1,0.13,1081.0,0
15.9,45.1,80.9,50.8,1730.0,25.6,0.73,1649.0,0
27.2,57.8,123.2,77.6,1239.0,28.2,0.49,2717.0,0
15.1,35.7,135.7,78.5,1705.0,5.9,0.6,303.0,0
19.8,43.0,127.1,86.4,2070.0,22.4,0.6,2821.0,0
24.7,51.4,145.7,64.2,1430.0,10.3,0.35,102.0,0
9.6,27.8,83.2,83.4,2228.0,11.0,0.53,175.0,0
44.6,136.9,330.6,81.0,2625.0,30.4,0.52,56.0,0
8.0,18.6,65.5,97.8,718.0,41.2,0.45,190.0,1
7.1,20.2,56.8,52.9,1519.0,19.4,0.84,876.0,0
29.0,88.6,158.8,73.1,1402.0,10.9,0.51,1150.0,0
42.2,125.9,229.6,76.1,2156.0,29.9,0.64,905.0,0
28.5,58.5,166.3,99.9,975.0,39.5,0.91,598.0,1
22.8,71.6,275.2,52.1,2029.0,34.2,0.88,433.0,1
19.6,45.6,103.6,71.4,2669.0,39.4,0.9,740.0,1
17.1,38.9,142.9,60.8,1429.0,25.1,0.34,297.0,0
51.6,97.3,331.9,71.6,2760.0,34.3,0.13,1104.0,0
